Song Title,Artist,Creator,Circle Size,Total Notes,Average Interval,Minimum Interval,Maximum Interval,2 Chord,3 Chord,4 Chord,1 Note on Drag,2 Note on Drag,3 Note on Drag,Drag on 1 Drag,Drag on 2 Drag,Drag on 3 Drag,NPM,Difficulty
"My Soul, Your Beats! (TV Size)",Lia,DJPop,4,630,223.21628498727736,69,2069,181,190,23,361,36,31,361,36,31,423.8998788857489,3.01
HELIX,ESTi,xeona,4,1483,158.24278846153845,1,686,305,414,106,500,26,2,129,10,1,662.0387937769246,3.76
HELIX,ESTi,xeona,4,1026,191.92128279883383,1,686,366,303,18,280,9,0,58,5,0,458.02549050244414,2.98
HELIX,ESTi,xeona,4,478,277.75949367088606,85,1372,472,3,0,85,0,0,63,0,0,213.38809401575858,1.57
Grow Slowly (TV Size),Iguchi Yuka,HinagikuKatsura,4,187,501.5632183908046,1,2364,163,12,0,49,0,0,27,0,0,126.43678160919539,1.06
Grow Slowly (TV Size),Iguchi Yuka,HinagikuKatsura,4,332,325.7843866171004,1,1637,208,62,0,10,0,0,4,0,0,224.4759972954699,1.58
Grow Slowly (TV Size),Iguchi Yuka,HinagikuKatsura,4,665,198.40315315315314,1,1636,264,146,31,298,9,3,52,7,3,449.1675203476264,2.98
China Dress,Memme,Tear,4,452,266.45454545454544,85,1371,452,0,0,0,0,0,0,0,0,223.0868574530917,3.12
China Dress,Memme,Tear,4,719,168.80222841225626,85,1628,719,0,0,17,0,0,17,0,0,354.8660409486127,5.47
China Dress,Memme,Tear,4,394,308.39694656488547,85,2143,394,0,0,13,0,0,13,0,0,194.4606677799074,3.74
China Dress,Memme,Tear,4,870,138.78020713463752,57,686,870,0,0,0,0,0,0,0,0,427.8828814059477,4.96
China Dress,Memme,Tear,4,751,162.17066666666668,84,4028,751,0,0,8,0,0,8,0,0,369.35939997540885,5.86
Insane Techniques,kors k,LeiN-,4,1179,153.39596469104666,51,2466,446,311,37,412,43,15,142,22,11,578.8728590951122,3.45
Insane Techniques,kors k,LeiN-,4,890,170.60729312762973,102,2466,545,162,7,144,17,1,47,6,1,436.9778156019083,2.77
Insane Techniques,kors k,LeiN-,4,504,286.8938679245283,102,3288,348,75,2,107,10,1,37,4,1,247.457100071193,1.8
Insane Techniques,kors k,LeiN-,4,423,257.5805687203791,51,6576,423,0,0,4,0,0,4,0,0,207.33769575766487,4.81
Insane Techniques,kors k,LeiN-,4,332,328.3957703927492,102,6576,332,0,0,4,0,0,4,0,0,162.73313236771807,3.23
Vidro Moyou,Sharlo,Sharlo,4,782,293.2279129321383,114,7329,782,0,0,155,0,0,155,0,0,191.33604922866124,4.31
Vidro Moyou,Sharlo,Sharlo,4,516,466.02718446601943,114,14886,516,0,0,212,0,0,212,0,0,120.83554500889875,3.16
Vidro Moyou,Sharlo,Sharlo,4,791,289.8873417721519,57,12825,791,0,0,164,0,0,164,0,0,193.53812652157424,3.86
